Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),definition
hotel,759,60.99,126,place where people can stay when traveling
club,760,60.99,126,"group of people who share an interest, as in sport"
below,761,60.99,126,"in a lower position, place, or level"
movie,762,60.99,126,motion picture; film
doctor,763,60.98,125,a professional who is trained and licensed to treat sick or injured people; a person who has the highest degree given by a university
discussion,764,60.98,125,any long communication about some particular topic
sorry,765,60.98,125,what you say to admit you were wrong
challenge,766,60.98,125,an activity you wish to try that may be hard to do
nation,767,60.96,125,area or region controlled by a government and army
nearly,768,60.96,125,not completely; almost
statement,769,60.95,125,act or process of saying something formally
link,770,60.95,124,to join or connect together
despite,771,60.94,124,without being affected by something; in spite of
introduce,772,60.94,124,to make someone known to another by name
advantage,773,60.94,124,thing making the chance of success higher
ready,774,60.94,124,prepared to do something
marry,775,60.93,124,to become the husband or wife of someone
strike,776,60.93,124,to hit something
mile,777,60.92,124,unit of distance; 1.6 kilometers
seek,778,60.92,123,to search for; to try to find; look for
ability,779,60.9,123,"power, money, knowledge, or skill to do something"
unit,780,60.9,123,single thing or person; a part of something larger
card,781,60.89,123,small piece of paper or plastic used as i.d.
hospital,782,60.88,123,"building for sick people, with doctors and nurses"
quickly,783,60.86,122,without taking a lot of time; fast
interview,784,60.86,122,to formally ask questions about a given topic
agreement,785,60.85,122,when you share the same opinion or reach a decision
release,786,60.85,122,"to allow to leave jail, cage, prison, etc."
tax,787,60.85,122,money taken by a government from its people
solution,788,60.85,122,something that ends a problem
capital,789,60.83,121,"main, or major"
popular,790,60.82,121,liked or enjoyed by many people
specific,791,60.82,121,special or particular; clearly presented or stated
beautiful,792,60.82,121,having very attractive or appealing physical qualities
fear,793,60.81,121,unpleasant feelings caused by being aware of danger
aim,794,60.81,121,act of pointing something at a target
television,795,60.81,120,"device that broadcasts programs, movies, or show"
serious,796,60.81,120,needing thought or concentration; important; in a sober manner
target,797,60.8,120,a goal or amount you are trying to achieve
degree,798,60.78,120,unit for measuring temperature or angles
pull,799,60.77,120,to hold something and move it toward you
red,800,60.77,119,being the color of blood
husband,801,60.77,119,married man
access,802,60.77,119,an entrance to a place; a way in
movement,803,60.75,119,part of a piece of music
treat,804,60.74,119,to act in a certain way toward someone
identify,805,60.73,118,to indicate who or what someone or something is
loss,806,60.72,118,experience or state of failing to have or keep
shall,807,60.72,118,"expressing the future tense, to expect to happen"
modern,808,60.7,117,of the present time; up to date; contemporary
pressure,809,60.7,117,force/weight when pressing against a thing
bus,810,60.69,117,a large road vehicle used for carrying many people
treatment,811,60.69,117,way someone acts toward another
conference,812,60.68,117,an event where people exchange ideas
yourself,813,60.67,117,"reflexive form of 'you', used for an emphasis"
supply,814,60.66,116,to give or sell goods to others for their use
village,815,60.65,116,small town in the country
worth,816,60.64,116,how much something is worth; the value of something
natural,817,60.64,116,not made by humans; without human intervention
express,818,60.64,116,to state or show what you think or how you feel
indicate,819,60.64,116,"to show something, direct attention to, or point out"
attend,820,60.63,116,to be present at an event
brother,821,60.63,116,a boy or man who shares a parent with you
investment,822,60.63,116,something purchased hoping its value will increase
score,823,60.62,115,to get points in a sport such as kicking a ball into a goal
organize,824,60.62,115,"to arrange and plan things (e.g., a party)"
trip,825,60.62,115,journey or visit to a place
beyond,826,60.62,115,on or to the farther side; in addition to
sleep,827,60.61,115,"to rest your body in bed, as at night time"
fish,828,60.6,115,animal that swims and lives in the sea
promise,829,60.6,115,to say you will certainly do something
potential,830,60.59,115,capable of happening or becoming reality
energy,831,60.59,115,physical or mental strength
trouble,832,60.59,115,state of difficulty or stress
relation,833,60.58,114,"manner in which people, groups, or countries behave toward one another"
touch,834,60.56,114,"to feel an object with your fingers, etc."
file,835,60.56,114,"to submit documents to an authority (e.g., city hall)"
middle,836,60.56,114,place that is halfway between two things
bar,837,60.55,114,"to prevent entry, exit, or an action"
suffer,838,60.55,113,"to experience pain, illness, or injury"
strategy,839,60.55,113,careful plan or method for achieving a goal
deep,840,60.54,113,going far down from the surface
except,841,60.54,113,not including; other than
clean,842,60.54,113,being free from dirt or marks because it was washed
tend,843,60.54,113,to regularly behave in a certain way
advance,844,60.54,113,to move forward in a certain direction
fill,845,60.53,113,to make something full
star,846,60.52,113,a bright planet of gas in the night sky
network,847,60.5,112,system of connections
generally,848,60.5,112,"usually; as a rule; by, to, or for most people"
operation,849,60.49,112,functioning; use
match,850,60.47,111,a sports competition between two people or teams
avoid,851,60.47,111,"to prevent from happening, or stay away from"
seat,852,60.45,111,something on which a person can sit
throw,853,60.45,111,to use your arm to make a thing fly through the air
task,854,60.44,111,big or small piece of work someone has to do
normal,855,60.43,110,standard or regular way of doing something
goal,856,60.42,110,something you try to do or achieve; an aim
associate,857,60.42,110,"partner in professional work (e.g., in law)"
blue,858,60.41,110,color of the clear sky
positive,859,60.4,110,"good or useful in qualities, constructive, confident"
option,860,60.4,110,possibility out of several that can be chosen; choice
box,861,60.39,109,a container with (usually) four straight sides and a lid
huge,862,60.39,109,very very large
message,863,60.39,109,piece of information that is told/given to someone
instance,864,60.38,109,an example of something; case
style,865,60.38,109,the particular way something is done or made
refer,866,60.37,109,to talk about or write about something
cold,867,60.36,109,having a very low temperature
push,868,60.36,109,to force something away from you
quarter,869,60.36,109,one of four equal parts of something
assume,870,60.34,108,"to believe, based on the evidence; suppose"
baby,871,60.33,108,"very young child, who cannot yet speak"
successful,872,60.32,108,having the desired effect or result
sing,873,60.32,108,to make musical sounds with your voice
doubt,874,60.32,108,not being sure of something; lack of certainty
competition,875,60.32,108,fighting against others when trying to win something
theory,876,60.31,108,idea or set of ideas that try to explain facts or events
propose,877,60.31,107,to offer or put forward an idea for consideration
reference,878,60.3,107,to cite a piece of research in speech or in writing
argument,879,60.3,107,a discussion in which you disagree with another's opinion
adult,880,60.3,107,person or animal that is fully grown
fly,881,60.3,107,to travel through the air using wings
document,882,60.29,107,official (printed) record that gives information
pattern,883,60.29,107,regular repeated behavior
application,884,60.28,107,"formal request for a job, building permission, etc."
hot,885,60.28,107,having a high temperature
obviously,886,60.28,107,in a way that is obvious/easy to see or understand
unclear,887,60.27,106,not easy to understand; not obvious
bill,888,60.27,106,piece of paper showing what you have to pay
search,889,60.26,106,to carefully look for something
separate,890,60.26,106,"to divide into parts, or to make something divide into parts"
central,891,60.26,106,being in the middle
career,892,60.25,106,particular occupation in professional life
anyway,893,60.25,106,a word people use to change the topic of a conversation
speech,894,60.24,106,expression of ideas or opinions
dog,895,60.24,106,small 4-legged animal that barks kept as a pet
officer,896,60.24,106,person with an important position in an organization
throughout,897,60.24,106,"over or across an entire thing or place, or in every part of something"
oil,898,60.22,105,"thick, black liquid in the ground used as fuel"
dress,899,60.21,105,women's garment with a top part and a skirt
profit,900,60.21,105,to earn money from something
guess,901,60.2,105,to give an answer without knowing if it is correct
fun,902,60.2,105,amusing and enjoyable
protect,903,60.2,105,to defend someone or something from harm or danger
resource,904,60.19,105,essential supply of something
science,905,60.19,104,knowledge of the physical world based on facts
disease,906,60.19,104,"illness that affects a person, animal, or plant"
balance,907,60.18,104,to make two or more things equal
damage,908,60.18,104,physical harm that is done to something
basis,909,60.18,104,"starting situation, fact, idea to develop from"
author,910,60.17,104,"person who writes books, plays, poems, etc."
basic,911,60.17,104,at the most important or easiest (beginner) level
encourage,912,60.16,104,to make someone more determined or confident
hair,913,60.15,104,long thin strands on your head or body
male,914,60.15,103,characteristic of boys or men
operate,915,60.14,103,to be working or being used
reflect,916,60.14,103,"to bounce back off a surface (e.g., light)"
exercise,917,60.13,103,to work out to become stronger and healthier
useful,918,60.12,103,that can help with a particular task
restaurant,919,60.12,103,"place where you can order, buy and eat a meal"
income,920,60.12,103,"earned money from work, investments, or business"
property,921,60.12,103,"things, buildings, or pieces of land owned by someone"
previous,922,60.12,103,existing or happening before the present time
dark,923,60.11,103,having little or no light; not light in color
imagine,924,60.11,102,to think creatively about; form a mental picture of
okay,925,60.1,102,yes; alright
earn,926,60.09,102,to get money for work
daughter,927,60.09,102,a female child of someone
post,928,60.08,102,to send a letter or package using the post office
newspaper,929,60.07,102,sheets of paper (or online) containing news stories
define,930,60.06,101,to explain the meaning of words
conclusion,931,60.05,101,judgment or opinion after thinking for a while
clock,932,60.05,101,a device that shows the time
everybody,933,60.05,101,every person; everyone
weekend,934,60.04,101,Saturday and Sunday
perform,935,60.04,101,to carry out an action well or successfully
professional,936,60.04,101,"about a job such as a doctor, lawyer, accountant, etc."
mine,937,60.04,101,that thing that belongs to me
debate,938,60.03,101,general public discussion of a topic
memory,939,60.03,101,something that has been remembered
green,940,60.03,101,color of young leaves
song,941,60.02,101,some music with words in verse
object,942,60,100,to disagree; to protest against an idea or plan
maintain,943,60,100,"to keep, exist or continue without changing"
credit,944,59.99,100,system to buy something and pay for it later
ring,945,59.99,100,"to produce a sound from a bell, alarm, or telephone; a piece of jewelry worn on a finger"
discover,946,59.97,99,to find something new that was not known before
dead,947,59.96,99,not alive
afternoon,948,59.96,99,time after 12:00 and before the evening meal
prefer,949,59.96,99,to like something better than something else
extend,950,59.95,99,"to straighten or stretch something out (e.g., your leg)"
possibility,951,59.95,99,something with a chance of happening or being true
direction,952,59.94,99,"describes the way you are going (e.g., north)"
facility,953,59.94,99,piece of equipment or buildings with a special use
variety,954,59.92,98,particular types of things or persons
daily,955,59.91,98,happening every day
clothes,956,59.91,98,"things you wear on your body (e.g., shirt, dress, tie)"
screen,957,59.9,98,"flat surface on a computer, or tv that shows images"
track,958,59.89,98,to follow behind someone to see what they are doing
dance,959,59.89,97,to move your body rhythmically to music
completely,960,59.89,97,in every way or as much as possible
female,961,59.88,97,person of the sex that gives birth to babies
responsibility,962,59.88,97,state of being dependable or reliable
original,963,59.84,96,"being first made, thought, or performed; fresh"
sister,964,59.84,96,female you share a parent with
rock,965,59.84,96,"big stone; hard, solid substance forming mountains"
dream,966,59.84,96,"images, thoughts, and feelings that are experienced during sleep"
nor,967,59.82,96,used to show two things that are both untrue or do not happen
university,968,59.82,96,high-level educational institution; college
easily,969,59.81,96,without difficulty
agency,970,59.81,96,business that provides some service for others
dollar,971,59.8,96,a basic unit of money equal to 100 cent
garden,972,59.79,95,yard; ground outside your house to grow plants
fix,973,59.79,95,to make something whole or able to work again
ahead,974,59.78,95,in or toward the front
cross,975,59.78,95,to meet at one point
yeah,976,59.77,95,yes (informal)
candidate,977,59.74,94,a person being considered for a job or position in office
weight,978,59.74,94,how heavy something is
legal,979,59.72,94,concerning the law; allowed by law
proposal,980,59.71,94,offer or plan to people who can decide about it
version,981,59.71,94,particular form of something and other forms
conversation,982,59.71,93,when you talk with other people; discussion or chat
somebody,983,59.7,93,person who is not known or named
pound,984,59.69,93,unit of weight equal to 16 ounces or 0.4536 kg
magazine,985,59.69,93,weekly or monthly publication with pictures and stories
shape,986,59.69,93,"outer form of something, what it looks like"
sea,987,59.68,93,place with a large amount of salt water
immediately,988,59.67,93,without any delay; straight away; right (after or before)
welcome,989,59.67,93,friendly greeting to someone who has arrived
smile,990,59.67,93,to show happiness by pulling up the corners of your mouth
communication,991,59.67,93,talking to people; giving information to people
agent,992,59.65,92,person who can represent and decide for others
traditional,993,59.65,92,involved in a tradition
replace,994,59.64,92,to use instead of something else
judge,995,59.64,92,to form an opinion after careful consideration
herself,996,59.63,92,female person that did the original action
suddenly,997,59.63,92,in an unexpected or very quick manner
generation,998,59.63,92,people born and living at about the same time
estimate,999,59.63,92,"guess or calculation of cost, size, or value"
favorite,1000,59.62,92,most liked; best loved
difficulty,1001,59.62,92,something that is hard to do
purchase,1002,59.61,91,to buy something; to get by paying money for it
shoot,1003,59.6,91,to kick or throw a ball at a goal
announce,1004,59.6,91,"to make a public statement about a plan, decision"
unless,1005,59.6,91,negative of 'if'
independent,1006,59.59,91,making your own decisions; not controlled by others
recommend,1007,59.58,91,to say something is good and deserves to be chosen
survey,1008,59.58,91,to ask people a question about a particular topic
majority,1009,59.58,91,amount that is more than half of a group
stick,1010,59.57,91,long thin piece of wood from a tree
request,1011,59.56,90,to ask for something
rich,1012,59.54,90,"having a lot of money, possessions, or resources"
wind,1013,59.54,90,natural movement of outside air as part of the weather
none,1014,59.53,90,not one of a group; not at all or in no way
exchange,1015,59.52,90,to give things of similar value to each other
budget,1016,59.51,89,amount of money planned to be spent on something
famous,1017,59.51,89,widely known; recognized by many people
blood,1018,59.51,89,red liquid in the bodies of people and animals
appropriate,1019,59.51,89,right or suitable for some situation or purpose
block,1020,59.51,89,to stop from going forward or making progress
warm,1021,59.5,89,slightly hot; not very hot
count,1022,59.5,89,to add things together to find the total number
scene,1023,59.5,89,part of an act in a play
writer,1024,59.49,89,"professional who writes books, articles, etc."
content,1025,59.49,89,"information in something (e.g., a book or computer program)"
prevent,1026,59.48,89,to stop something from happening or existing
safe,1027,59.47,89,being out of danger
invite,1028,59.47,88,to ask someone to go somewhere or do something
mix,1029,59.46,88,to combine two or more things to make one
element,1030,59.45,88,essential or particular part of something
effective,1031,59.45,88,working efficiently to produce a desired result
correct,1032,59.45,88,true or accurate
medical,1033,59.43,88,of or relating to physical health or medicine
admit,1034,59.42,88,"to agree that you did something bad, or that something bad is true"
beat,1035,59.42,87,to win against another person or team; defeat
telephone,1036,59.42,87,machine used to talk to someone who is far away
copy,1037,59.41,87,to make something that looks the same as the original
committee,1038,59.4,87,group of people who do or decide something
aware,1039,59.4,87,knowing or feeling that something exists
advice,1040,59.4,87,suggestion about what someone should do
handle,1041,59.39,87,to have the ability to cope with or take responsibility for
glass,1042,59.39,87,hard transparent material used for making windows
trial,1043,59.38,87,concerning or used in a trial
stress,1044,59.38,87,to be in a state of mental tension due to problems
radio,1045,59.37,86,system for sending and receiving signals through the air
administration,1046,59.36,86,"the work of running something (e.g., a business)"
complex,1047,59.36,86,"difficult, not easy to understand or explain"
text,1048,59.35,86,written part of a book or other work
context,1049,59.35,86,set of facts surrounding a person or event
ride,1050,59.34,86,to sit on and control a horse or vehicle
directly,1051,59.34,86,in a frank and honest way
heavy,1052,59.34,86,having a lot of weight
remove,1053,59.33,86,"to move, erase or take away from a place"
conduct,1054,59.33,86,"to direct, lead or guide something"
equipment,1055,59.33,86,tools or materials used to perform a task
otherwise,1056,59.33,86,"indicates that there will be a bad result if something is done, not done, or done improperly"
title,1057,59.32,86,name given to something to identify or describe it
extra,1058,59.31,85,more than necessary; additional
executive,1059,59.31,85,a senior manager in a business or organization
chair,1060,59.31,85,a piece of furniture you sit on when sitting at a table or desk
expensive,1061,59.31,85,costing a lot of money
sample,1062,59.3,85,"to try something to see if you like it (e.g., food)"
sex,1063,59.3,85,state of being male or female mostly biological
deliver,1064,59.29,85,to take something to a person or place
video,1065,59.29,85,recording capturing action with sound
connection,1066,59.29,85,something that joins things together; being joined
primary,1067,59.28,85,"most important, most basic or essential"
weather,1068,59.27,85,"whether it is raining, sunny, cold, etc., outside"
collect,1069,59.27,84,to gather things/people together in one place
inform,1070,59.25,84,to give information or facts about something
principle,1071,59.25,84,strong belief that influences a person's actions; basic law or belief
straight,1072,59.24,84,"not having curves, bends, or angles"
appeal,1073,59.24,84,to request a judge or others change a decision
highly,1074,59.24,84,more than usual; to a great degree
trust,1075,59.24,84,to be confident that someone is honest and reliable
wonderful,1076,59.23,84,producing feelings of enjoyment or delight
flat,1077,59.23,84,level; even; without curves or bumps
absolutely,1078,59.22,84,completely; totally; very
flow,1079,59.22,84,to move steadily and easily in a certain direction
fair,1080,59.22,84,treating all people the same way
additional,1081,59.21,83,further or added
responsible,1082,59.21,83,having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner
farm,1083,59.2,83,land used for growing crops or raising animals
collection,1084,59.2,83,group of similar things gathered as a hobby
hang,1085,59.19,83,"to attach a picture, photograph, etc., onto a wall"
negative,1086,59.18,83,"being harmful, unwanted, or unhelpful"
band,1087,59.18,83,"group of people who work together (e.g., play music)"
relative,1088,59.17,83,measured or considered in comparison to something else
tour,1089,59.17,83,a journey to visit several places for pleasure
alternative,1090,59.17,83,other choices
software,1091,59.17,83,market for software is expected to expand
pair,1092,59.16,82,"two of the same thing (e.g., socks)"
ship,1093,59.16,82,large boat
attitude,1094,59.14,82,"way you act, think, and feel about something"
cheap,1095,59.14,82,not costing a lot of money
double,1096,59.14,82,two times the amount or degree; twice
leg,1097,59.13,82,part of the body from the thigh down
observe,1098,59.13,82,to watch carefully; to make a comment
sentence,1099,59.13,82,set of spoken or written words that make a whole statement
print,1100,59.12,82,"to make many copies of a page, magazine, or book"
progress,1101,59.12,82,to move forward or toward a place or goal
truth,1102,59.11,82,real facts about something
nobody,1103,59.11,82,no person; no one; not any person
examine,1104,59.1,81,to look at someone or something very carefully in order to learn more
lay,1105,59.1,81,to put or set something down in a flat position
speed,1106,59.09,81,quality of being fast or quick
politics,1107,59.09,81,activities influencing the policies of a government
reply,1108,59.08,81,answer someone's question
display,1109,59.08,81,to put so they can be seen or be bought
transfer,1110,59.08,81,to move something from one place to another
perfect,1111,59.07,81,so good it/they cannot be improved
slightly,1112,59.07,81,concerning a small quantity or degree
overall,1113,59.07,81,"viewed as a whole; in general, not as details"
intend,1114,59.06,80,to plan or want to do something
user,1115,59.05,80,"person that uses a service or thing (e.g., a website)"
respond,1116,59.05,80,to say or write to answer the question
dinner,1117,59.04,80,"main meal of the day, usually in the evening in the us"
slow,1118,59.04,80,moving or happening without speed; not fast
regular,1119,59.04,80,occurring or being done frequently
physical,1120,59.04,80,concerning the body of a person
apart,1121,59.02,80,separated by an amount of time or space
suit,1122,59.01,80,to be appropriate for a given situation
federal,1123,59.01,80,system of government
reveal,1124,59.01,80,"to make known, to show or prove"
percentage,1125,59,79,part of a whole divided into hundredths
peace,1126,58.99,79,time when there is no war or fighting
status,1127,58.99,79,position or rank relative to others in a society
crime,1128,58.98,79,"act that is against the law; murder, theft, etc."
decline,1129,58.97,79,to not accept an invitation or offer; refuse
decade,1130,58.97,79,period of 10 years
launch,1131,58.97,79,to put a rocket into the air; put a ship into the water
warn,1132,58.96,79,to tell someone about possible danger
consumer,1133,58.96,79,person who uses goods or services; individual buyer
favor,1134,58.96,79,helpful act of kindness
dry,1135,58.95,78,without water; not wet
partner,1136,58.95,78,someone you have a business or personal relationship with
institution,1137,58.95,78,organization created for a particular cause or purpose
spot,1138,58.94,78,see someone by chance
horse,1139,58.94,78,large animal with 4 legs used for riding
eventually,1140,58.93,78,finally
heat,1141,58.93,78,to make hot or hotter
excite,1142,58.92,78,"to make someone feel happy, interested, or eager"
reader,1143,58.92,78,person who reads written or printed materials
importance,1144,58.91,78,being important; having a big effect on
distance,1145,58.9,78,amount of space between two places or things
guide,1146,58.9,78,to lead people visiting a new or unknown place
grant,1147,58.9,78,to give or let someone do what they want
taxi,1148,58.89,77,car that transports people for money
feed,1149,58.89,77,"to give food (e.g., to an animal or a baby)"
pain,1150,58.89,77,strong feeling of hurt or discomfort
sector,1151,58.87,77,area that includes certain kinds of job
mistake,1152,58.87,77,"something done wrong, calculated wrong.; error"
ensure,1153,58.86,77,"to make something sure, certain, or safe"
satisfy,1154,58.85,77,to be happy because you met your expectation
chief,1155,58.85,77,most important one
cool,1156,58.85,77,almost cold; not warm or hot
expert,1157,58.84,77,skillful person with special knowledge
wave,1158,58.84,77,to move your hand or arm to say hello or goodbye
south,1159,58.84,77,direction that is the opposite of north
labor,1160,58.83,76,to work hard (often physically) for many hours
surface,1161,58.83,76,of the top layer; superficial
library,1162,58.82,76,place where books and other media are kept
excellent,1163,58.81,76,extremely good
edge,1164,58.81,76,boundary of a surface
camp,1165,58.81,76,place where people live for a short time in tents
audience,1166,58.8,76,"group of people listening, watch a play, movie, etc."
lift,1167,58.8,76,to move something to higher position
procedure,1168,58.79,76,usual or standard way in which something is done
email,1169,58.79,76,
global,1170,58.79,76,"concerning, affecting, or involving the entire world"
struggle,1171,58.79,76,to try very hard to do something difficult
advertise,1172,58.77,75,"to show how good a product is, to make people buy"
select,1173,58.76,75,"to choose from a group, something most suitable"
surround,1174,58.75,75,to be on every side of something
extent,1175,58.74,75,range or space included in something
river,1176,58.73,75,flowing water that runs from mountains to the sea
annual,1177,58.73,75,"happening once a year, or every year"
fully,1178,58.73,75,completely or entirely
contrast,1179,58.72,75,"to compare; to show clear, obvious differences"
roll,1180,58.71,74,to move along a surface by turning many times
reality,1181,58.71,74,"what is true, as opposed to what is imagined"
photograph,1182,58.7,74,a picture made with a camera that shows how things look in real life
artist,1183,58.69,74,"a person who is skilled and creative in art, such as a painter"
conflict,1184,58.69,74,to have opposite ideas; to disagree; to not match
entire,1185,58.69,74,complete or full; with no part left out; whole
presence,1186,58.69,74,fact that someone or something is in a particular place
crowd,1187,58.69,74,large group of people together in one place
corner,1188,58.69,74,"place where two lines, sides, corners, etc., meet"
gas,1189,58.69,74,"elements in our air, like oxygen or nitrogen"
shift,1190,58.68,74,to change in position or direction
net,1191,58.68,74,material made of string tied together and used to catch fish or other small animals
category,1192,58.68,74,groups of things that are similar in some way
secretary,1193,58.68,74,an employee who does general office work for another person in the office
defense,1194,58.68,74,process of protecting something from attack
quick,1195,58.67,74,using very little time; moving far in little time
cook,1196,58.67,74,to heat food until it is ready to eat
spread,1197,58.66,73,to place something over or cover a large area
nuclear,1198,58.66,73,concerning or involving the center of an atom
scale,1199,58.66,73,a device that is used to weigh a person or thing
driver,1200,58.66,73,someone who operates a vehicle
ball,1201,58.65,73,small round object often used in a game or sport
cry,1202,58.64,73,to produce tears and sounds because of pain
introduction,1203,58.63,73,making someone known to another by name
requirement,1204,58.63,73,something that is a necessity
north,1205,58.62,73,direction to your left when facing the rising sun
confirm,1206,58.62,73,to provide evidence to establish the truth of
senior,1207,58.6,72,having higher status or authority than another person
photo,1208,58.59,72,short for photograph; a picture taken by a camera
refuse,1209,58.59,72,to say that you will not accept something
transport,1210,58.58,72,to carry things from one place to another
emerge,1211,58.58,72,to rise or appear out of some background
map,1212,58.58,72,picture showing the geography of an area
concept,1213,58.58,72,abstract idea of something or how it works
island,1214,58.57,72,area of land that is surrounded by water
reform,1215,58.57,72,to improve society by removing abuse and injustices
neither,1216,58.57,72,not one or the other; not either; none of two things
football,1217,58.56,72,sport where 2 teams try to kick a ball in a goal; soccer
survive,1218,58.56,72,to continue to live despite illness or trouble
flight,1219,58.55,72,act of flying
left,1220,58.55,72,side of your body your heart is on
solve,1221,58.54,72,to find a way to deal with a problem
neighbor,1222,58.54,72,"person who lives, or is near, you"
background,1223,58.54,71,"images, color, or information behind the main one"
technique,1224,58.54,71,way of doing by using special knowledge or skill
traffic,1225,58.54,71,amount of activity over a communication system
improvement,1226,58.53,71,addition or change that makes something better
tool,1227,58.52,71,"device used to make things (e.g., a hammer or driver)"
consequence,1228,58.52,71,outcome of an event; result
circumstance,1229,58.52,71,condition or fact that affects a situation
smoke,1230,58.52,71,to breathe in through a cigarette and then blow it out
reaction,1231,58.52,71,feeling or action in response to something
rain,1232,58.52,71,drops of water that fall out of clouds in the sky
busy,1233,58.51,71,working hard doing something; full of activity
lesson,1234,58.51,71,a time or event where teaching and learning occur; class
brain,1235,58.5,71,part of the head that thinks and controls your body
mass,1236,58.5,71,"a large amount of something, often of no particular shape"
funny,1237,58.49,71,causing laughter; amusing
contribute,1238,58.49,71,give something of value to or help someone or something
failure,1239,58.49,71,act or result of not achieving your goals
schedule,1240,58.48,71,to arrange a time to do something with others
speaker,1241,58.48,70,person who makes a speech before a group
bottom,1242,58.47,70,lowest part of something; part on which it rests
adopt,1243,58.47,70,to take on responsibility for something
combine,1244,58.47,70,to mix several things together to form one thing
mountain,1245,58.46,70,"very high piece of land, higher than a hill"
waste,1246,58.46,70,to use valuable things ineffectively
hide,1247,58.45,70,to put a thing where it can't be found; go where you won't be found
marriage,1248,58.45,70,formal relationship between a husband and a wife
ticket,1249,58.45,70,piece of paper that lets you enter or use something
meal,1250,58.45,70,"food for eating at a particular time (e.g., dinner)"
colleague,1251,58.45,70,someone who works with you; coworker
bag,1252,58.45,70,soft container to put things in and carry with you
repeat,1253,58.44,70,to say something again
equal,1254,58.43,70,"same in shape, size, or number"
expression,1255,58.43,70,act of making your thoughts and feelings known
plus,1256,58.43,70,having a value greater than zero
extremely,1257,58.43,70,in a way that is much more than usual or expected
owner,1258,58.42,70,person who owns or has something
plane,1259,58.42,69,an airplane
commercial,1260,58.41,69,radio or television advertisement
lady,1261,58.39,69,another way of saying 'woman'
duty,1262,58.38,69,work required by your job or position
strength,1263,58.37,69,being strong
connect,1264,58.36,69,to join or attach things together
cultural,1265,58.36,69,of a particular society's customs and beliefs
arrange,1266,58.35,68,to put things into a particular order; to plan and organize an event
scheme,1267,58.35,68,often dishonest plan to get or do something
payment,1268,58.34,68,amount of money that is paid for something
unfortunately,1269,58.34,68,in a way that is to be regretted; unluckily
brief,1270,58.34,68,short; using few words
bird,1271,58.33,68,animal with feathers that uses wings to fly
demonstrate,1272,58.33,68,"to show how something works (e.g., product)"
contribution,1273,58.33,68,"helping a cause by giving money, things, services"
appreciate,1274,58.32,68,to be thankful for; to value or admire
chapter,1275,58.32,68,one of the main sections of a book
secret,1276,58.32,68,something that you don't want others to know; private
apparently,1277,58.32,68,according to what you heard; from what can be seen
novel,1278,58.32,68,written fiction story
union,1279,58.31,68,organization of people or groups who have a similar interest or particular goal
burn,1280,58.31,68,to destroy with fire
trend,1281,58.31,68,"general direction of developing, proceeding"
initial,1282,58.31,68,existing or occurring at the beginning
pleasure,1283,58.3,68,"feeling of happiness, enjoyment, or satisfaction"
suggestion,1284,58.3,68,idea about what someone should do
critical,1285,58.29,67,being important or serious; vital; dangerous
gather,1286,58.29,67,to bring people/animals together into a group
mostly,1287,58.29,67,in large part; mainly or chiefly
earth,1288,58.29,67,planet we live on
pop,1289,58.28,67,to cause something to open or burst suddenly
essential,1290,58.27,67,extremely important and necessary
desire,1291,58.27,67,"to wish for, hope, or want something"
promote,1292,58.27,67,to try to encourage the popularity and sales of a product
currently,1293,58.27,67,happening or being in the present time
employ,1294,58.26,67,to pay a person to work for you; to give a job to
path,1295,58.26,67,track made with stones/by walking over the ground
topic,1296,58.26,67,matter people talk or write about
beach,1297,58.25,67,"large area of sand, next to an area of water"
attract,1298,58.25,67,to make someone notice and become interested in
engage,1299,58.25,67,"to carry out, participate in; be involved in"
powerful,1300,58.24,67,having control or influence over
flower,1301,58.24,67,"plant with a pretty head (e.g., a rose)"
crisis,1302,58.24,67,unstable situation of extreme danger or difficulty
settle,1303,58.23,67,to move to a new environment and become accustomed to it
boat,1304,58.23,66,small form of transport for traveling on water
aid,1305,58.23,66,to provide things useful or needed by others
fan,1306,58.23,66,thing you wave in front of your face to stay cool
kitchen,1307,58.23,66,place where food is cooked
twice,1308,58.22,66,two times
fresh,1309,58.22,66,newly made or gathered
delay,1310,58.22,66,to cause something to happen later than planned or expected
safety,1311,58.22,66,state of being free from harm or danger
engineer,1312,58.22,66,"professional who designs and builds machines, roads, and other complicated structures"
quiet,1313,58.21,66,not loud; making very little sound
insurance,1314,58.21,66,payments to cover potential loss/damage/injury/death
nurse,1315,58.21,66,person trained to care for sick or injured people
divide,1316,58.2,66,to separate something into equal pieces
length,1317,58.2,66,measurement of distance or of time
investigation,1318,58.19,66,search for information about something
package,1319,58.19,66,box or container in which items are placed for mailing
somewhere,1320,58.19,66,at or to an unknown or unnamed place
expand,1321,58.18,66,to become bigger or larger in size and amount
commit,1322,58.18,66,"to do something bad, usually a crime"
obvious,1323,58.18,66,easily understood and clear; plain to see
jump,1324,58.16,65,to push your body into the air with your legs
weapon,1325,58.16,65,something that is used for fighting
relatively,1326,58.15,65,in a manner that measures or compares something to something else
host,1327,58.15,65,person who entertains guests
winter,1328,58.15,65,coldest season of the year
district,1329,58.15,65,"area of a country, city, or town"
broad,1330,58.14,65,wide; from the shorter two sides to the other
