Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),definition
interest,142,68.15,653,to make someone want to know about something
country,143,68.15,653,an area of land that is controlled by a government
old,144,68.11,647,"having existed for a long time, not young or new"
each,145,68.1,646,every one of two or more things
school,146,68.05,638,building where you learn in classes with a teacher
late,147,68.05,638,happening near the end of a given time
high,148,68.04,637,rising upward a great distance
different,149,68.03,636,not of the same kind; unlike other things
off,150,68,630,away from; not on
next,151,67.92,620,immediately after the previous one
end,152,67.92,619,a point that marks the limit of something; finish
live,153,67.84,608,to be alive
why,154,67.83,607,for what reason or purpose
while,155,67.77,598,during the time that; at the same time
world,156,67.76,597,"all the humans, events, activities on the earth"
week,157,67.75,596,"period of seven days, starts on Sunday and end on Saturday"
play,158,67.73,593,to do or perform a game or sport
might,159,67.68,587,used to express that something could happen
must,160,67.68,586,used to say that something is required or necessary
home,161,67.67,585,place where a person or a family lives
never,162,67.63,580,not ever; not at any time
include,163,67.6,575,to make someone/something part of a group
course,164,67.6,575,"route or direction that a river, etc., moves along"
house,165,67.57,572,"building in which a family, person lives"
report,166,67.56,570,account of something which gives the necessary facts and information
group,167,67.55,569,number of people or things gathered together
case,168,67.55,569,example or instance of something
woman,169,67.55,568,adult female human being
around,170,67.54,568,"located on every side, or along something"
book,171,67.53,566,thing made of pages with writing on that you read
family,172,67.52,565,a group of people who are related through blood
seem,173,67.5,562,to appear to be something
let,174,67.44,555,to not stop someone from doing something
again,175,67.44,554,"one more time, once more"
kind,176,67.43,554,one type of thing
keep,177,67.41,551,to have and continue to hold something
hear,178,67.37,546,to be aware of sound; to perceive with the ear
system,179,67.36,545,"set of organized, planned ideas that work together"
every,180,67.36,545,including each person or thing in a group
question,181,67.34,542,to ask for or try to get information
during,182,67.32,540,at some point in the course of an event or thing
always,183,67.25,531,at all times; in every situation
big,184,67.22,527,large
set,185,67.21,526,"complete group of something (e.g., a chess set)"
small,186,67.2,525,little in size; not big
study,187,67.19,524,to focus on learning something usually at school
follow,188,67.17,521,to come after someone; be guided by someone
begin,189,67.14,518,to do the first part of an action; to start
important,190,67.14,518,"having a big effect on (person, the future)"
since,191,67.12,515,from the time in the past that
run,192,67.08,510,to move your legs faster than walking
under,193,67.07,509,"in the same place as another thing, but lower"
turn,194,67.07,509,"to change the direction of something (e.g., a car)"
few,195,67.07,509,not many; small in number
bring,196,67,502,to take or go with someone to a place
early,197,66.98,499,happening sooner than expected
hand,198,66.97,497,body part at the end of a person's arm
state,199,66.94,494,"region within a country, with its own government"
move,200,66.93,493,to cause something to change to a different place
money,201,66.92,492,coins or notes we use to pay for things
fact,202,66.86,486,something that is known or proved to be true
however,203,66.8,479,used to say something is different from what was said before; but
area,204,66.78,477,a specific section or space; part of a region
provide,205,66.78,476,to make available; to supply for use
name,206,66.74,472,what something or someone is called
read,207,66.73,471,to look at and comprehend the meaning some writing
friend,208,66.7,468,person who you like and enjoy being with
month,209,66.7,468,"one of 12 time periods that make a year, each from 28 to 31 days long"
large,210,66.67,464,"big; of great size; broad, tall, wide, long, or fat"
business,211,66.67,464,"the making, buying, or selling goods or services for money"
without,212,66.64,461,used to say you don't have something or it isn't in a place
information,213,66.62,459,collection of facts and details about something
open,214,66.61,459,not closed or shut
order,215,66.59,456,"to ask for something you want to buy (e.g., a meal)"
government,216,66.58,455,group of people and system which rule a nation
word,217,66.58,455,unit of language that has a meaning
issue,218,66.56,453,"important topic discussed, debated, or argued over"
market,219,66.53,450,public event where people sell goods on tables
pay,220,66.51,447,to give money for goods or work done
build,221,66.5,446,"to make (e.g., a house, by putting materials together)"
hold,222,66.45,442,to use hands or arms to carry or keep something
service,223,66.44,440,to maintain a piece of machinery so it runs well
against,224,66.39,436,in opposition to; disagreeing with
believe,225,66.38,435,to think or accept that something is true
second,226,66.36,433,2nd; the one following first
though,227,66.34,430,"although, despite the fact that"
yes,228,66.33,430,way to say you agree or will do something
love,229,66.3,427,to care for and like someone very strong and deeply
increase,230,66.28,425,to make or become something larger in size or amount
job,231,66.28,425,regular work of earning money
plan,232,66.28,425,to decide a set of actions to do something
result,233,66.27,424,to be the outcome of other causes and effects
away,234,66.27,424,not here; far from here; in a different direction
example,235,66.24,420,something or someone who represents a group
happen,236,66.23,420,to take place or occur
offer,237,66.21,418,to give the opportunity to accept something
young,238,66.2,417,at an early stage of existence; not mature
close,239,66.19,416,next to; only a short distance away
program,240,66.17,414,planned set of actions; a schematic system
lead,241,66.13,410,to show the way or guide others
buy,242,66.07,405,to get something by paying money for it
understand,243,66.05,403,"to know the meaning of language, what someone says"
thank,244,66.01,399,to tell someone you are grateful to them
far,245,66,398,a long way away
today,246,65.94,392,on this day; at the time that is happening now
hour,247,65.93,391,60 minutes; one of 24 equal units of time in a day
student,248,65.92,391,person studying at school
face,249,65.91,390,"front part of the head where eyes, nose, and mouth are"
hope,250,65.89,388,when you wish something would happen; what you wish
idea,251,65.87,387,"belief, thought, suggestion, opinion, or plan"
cost,252,65.86,386,price you pay for something
less,253,65.86,385,smaller in amount or degree
room,254,65.85,385,"a part of building enclosed by walls (e.g., kitchen)"
until,255,65.83,383,"up to, to indicate a point in time when something happens"
reason,256,65.83,383,explanation for why something occurred or was done
form,257,65.79,379,visible shape or style; type; kind
spend,258,65.78,378,to use money to pay for something
head,259,65.77,378,top part of your body with eyes and a mouth
car,260,65.77,377,a vehicle with four wheels and engine that can carry things
learn,261,65.74,375,to get knowledge or skills by study or experience
level,262,65.71,373,to make things flat or even
person,263,65.66,368,"man, woman, or child"
experience,264,65.63,365,"knowledge gained by living life, doing new things"
once,265,65.62,365,one time; one instance
member,266,65.61,364,person or thing belonging to a group or team
enough,267,65.6,363,equal to what is needed; as much as required
bad,268,65.59,363,not good; wrong
city,269,65.59,362,a heavily populated area with many buildings and roads
night,270,65.58,361,time when sun does not shine
able,271,65.57,361,"having the power, skill, knowledge, or money to do something"
support,272,65.55,359,to give assistance or advice to someone
whether,273,65.55,359,if something will happen or not
line,274,65.54,358,"mark that is long, straight, and very thin"
present,275,65.54,358,gift
side,276,65.51,356,straight edge of an object
quite,277,65.5,354,very; in a complete or total manner
although,278,65.46,351,despite the fact that; however
sure,279,65.45,351,having no doubts about something
term,280,65.44,350,fixed period of weeks for learning at school
least,281,65.44,350,in the smallest or lowest way
age,282,65.43,349,number of years a person has lived (also of things)
low,283,65.43,349,"not high; being near the ground, or bottom"
speak,284,65.42,348,"to use words to tell information, express thoughts"
within,285,65.4,347,"not beyond the limits of a particular space, time, or range"
process,286,65.4,346,to adopt a set of actions that produce a particular result
public,287,65.35,343,concerning society in general
often,288,65.33,341,"many times, frequently, on many occasions"
train,289,65.29,338,vehicle that carries people and runs on rails
possible,290,65.28,337,"having a chance of happening, or being true"
actually,291,65.28,337,used to add new (often different) information
rather,292,65.27,336,somewhat; fairly; not that much
view,293,65.26,336,things you are able to see from a specific place
together,294,65.24,334,near close in the same place not far in a family or group
consider,295,65.24,334,to think carefully about something
price,296,65.14,327,to determine or set the cost of something
parent,297,65.14,326,person's mother or father
hard,298,65.12,325,"difficult to bend, break or cut; solid"
party,299,65.08,322,"social event often with food, drinks, and dancing"
local,300,65.06,321,"relating or restricted to a particular area, city, or town"
control,301,65.05,320,to direct or influence the behavior of something
already,302,65.02,318,having happened or been done before this time
concern,303,65.02,317,feeling of worry or anxiety
product,304,65.01,317,item that can be bought
lose,305,65,316,to be unable to find something you once had
story,306,64.98,315,an account or description of how something happened
almost,307,64.98,315,"only a little less than, nearly, not quite"
continue,308,64.96,314,"to do something without stopping, or after pausing"
stand,309,64.95,313,to be upright; not be sitting or lying down
whole,310,64.95,313,complete or full; all of
yet,311,64.95,313,until now; up to the present
rate,312,64.94,312,speed or frequency of events over time
care,313,64.93,311,to look after someone or something
expect,314,64.93,311,to believe something is probably going to happen
effect,315,64.93,311,change brought about by a cause; result
sort,316,64.92,311,group or class of similar things or people
ever,317,64.92,311,at any time; at all times in the future
anything,318,64.92,310,thing of any kind; used to refer to a thing in questions
cause,319,64.9,309,to make something happen; create effect or result
fall,320,64.89,309,dropping from a standing position to the ground
deal,321,64.89,309,"to give out (cards, etc.) to; distribute"
water,322,64.87,307,"clear liquid that forms the seas, rivers, and rain"
send,323,64.86,306,to cause mail or package to go to another place
allow,324,64.84,305,to let or permit someone do something
soon,325,64.84,304,at a time not long from now
watch,326,64.8,302,to look at carefully to work out what is happening
base,327,64.78,300,origin or start from which something came
probably,328,64.75,299,likely to happen or be true
suggest,329,64.74,298,to mention something that could be done; propose
past,330,64.73,297,"the time that existed before now (e.g., long ago)"
power,331,64.72,296,legal or official right to perform certain actions
test,332,64.71,296,examination; questions to measure knowledge
visit,333,64.7,295,"to go to a place for a time, usually for a reason"
center,334,64.7,295,place in the middle of something
grow,335,64.69,294,to develop and become bigger or taller over time
nothing,336,64.68,294,"not anything, not a single thing"
return,337,64.68,294,to come back to a place again
mother,338,64.67,293,a female who has a child or children
walk,339,64.63,291,to move with your legs at a slowish pace
matter,340,64.63,290,problem or reason for concern
mind,341,64.62,290,part of humans that allows us to think or feel
value,342,64.61,289,to say how much money something is worth
office,343,64.59,288,building of set of rooms used to do business or professional activities
record,344,64.59,287,being the highest or most extreme level achieved in an area
stay,345,64.57,286,to spend time visiting a place or someone's home
force,346,64.57,286,to use physical strength or violence to persuade
stop,347,64.55,285,to finish moving or to come to an end
several,348,64.54,285,more than two but not many
light,349,64.53,284,not heavy; weighing only a little
develop,350,64.51,282,"to grow bigger, more complex, or more advanced"
remember,351,64.5,282,to bring a previous image or idea to your mind
bit,352,64.49,281,small piece of something
share,353,64.48,281,"part of a company you own, shown by a certificate"
real,354,64.47,280,"actually existing or happening, not imagined"
answer,355,64.46,279,solution to a problem or test question
sit,356,64.44,278,to be in a resting position on a chair
figure,357,64.43,278,to understand after thinking; work out
letter,358,64.43,277,message you put in an envelope and send by post
decide,359,64.41,276,to make a choice about something or choose after thinking
language,360,64.39,275,words or signs used to communicate messages
subject,361,64.35,273,"the person, or thing that is being talked, or written about"
class,362,64.35,272,"rank or level in society, ranked from high (rich professional people) to low (ordinary people)"
development,363,64.31,270,act or process of growing bigger or more advanced
town,364,64.31,269,small city
half,365,64.29,269,the part you get when one is divided into two; ½
minute,366,64.28,268,unit of time equal to 60 seconds
food,367,64.28,268,what people and animals eat to live
break,368,64.28,268,"to separate into pieces by force, or by dropping"
clear,369,64.25,266,easy to understand; well-explained; obvious
future,370,64.24,266,time that is to come after the present
either,371,64.24,266,one of two (used when there is a choice of two)
ago,372,64.24,265,at a specified length of time in the past
per,373,64.24,265,for each; during each
remain,374,64.24,265,"to be left behind, to continue to exist"
top,375,64.23,265,highest or upper part or point of something
among,376,64.23,265,in the center of some things; in relation to several things
win,377,64.21,264,to succeed in a game or contest
color,378,64.2,263,"the quality of things you can see (e.g., red, blue)"
involve,379,64.16,260,to have or be included as a part of something
reach,380,64.15,260,to come to or arrive at a goal or destination
social,381,64.15,260,involving activities among people especially free time activities
period,382,64.13,259,set amount of time during which events take place
across,383,64.12,258,from one side to the other of something
note,384,64.12,258,to make mention of something; to make a remark
history,385,64.12,258,study of past event
create,386,64.11,258,"to make, cause, or bring into existence"
drive,387,64.11,258,to control a vehicle so that it moves somewhere
along,388,64.1,257,at a point on a line
type,389,64.09,257,group of things or people sharing common features
sound,390,64.08,256,waves traveling in air or water that can be heard
eye,391,64.07,256,part of the body that you see with
music,392,64.07,255,sounds that are sung or played to give pleasure
game,393,64.07,255,activity with rules that people play to have fun
political,394,64.06,255,concerning government or public affairs
free,395,64.06,255,costing no money
receive,396,64.05,254,to get something that someone has given or sent to you
moment,397,64.05,254,very short or brief period of time
sale,398,64.04,254,giving something for money; the amount sold
policy,399,64.04,253,"course of action proposed by an organization, etc."
further,400,63.99,251,extra; in addition
body,401,63.98,250,a person's physical self
require,402,63.97,249,"to need something, to make it necessary"
wait,403,63.96,249,to spend time until an expected thing happens
general,404,63.95,248,"widespread, normal or usual"
appear,405,63.95,248,"to be seen, become visible; come into sight"
toward,406,63.95,248,facing or moving in the direction of something
team,407,63.95,248,group of people working on a task together
easy,408,63.95,248,not hard to do; not difficult
individual,409,63.95,248,"single person, looked at separately from others"
full,410,63.95,248,containing or holding as much as possible
black,411,63.94,248,color of the sky on a dark night
sense,412,63.92,247,"to perceive using sight, sound, taste touch or hearing"
perhaps,413,63.91,246,"possibly, but not certainly; maybe"
add,414,63.89,245,"to put two things or numbers together (e.g., 2+2)"
rule,415,63.88,245,statement that says how things should be
pass,416,63.86,243,to travel through or near a place
produce,417,63.86,243,to manufacture something using machines
sell,418,63.86,243,to exchange something for money
short,419,63.81,241,small distance from one end to the other
agree,420,63.81,240,to have the same opinion as someone else
law,421,63.79,239,system or rules made by the government
everything,422,63.77,238,all of the things mentioned
research,423,63.75,237,to carefully study to find and report new knowledge
cover,424,63.73,236,thing you put over something to close or hide it
paper,425,63.73,236,pages of a book are made from this
position,426,63.72,236,specific location where someone or something is
near,427,63.72,236,with a small distance between things
human,428,63.72,235,"a person; a man, woman or child"
computer,429,63.72,235,a machine for storing information and accessing the internet
situation,430,63.7,235,"condition, location or position"
staff,431,63.7,234,employees of a company
activity,432,63.68,234,"an action or task (e.g., sports, washing your clothes)"
film,433,63.66,232,movie
morning,434,63.65,232,early part of the day before 12 noon
war,435,63.63,231,situation where armies fight each other
account,436,63.63,231,arrangement with a bank to keep your money for you
shop,437,63.62,230,place which sells things
major,438,63.59,229,"important, serious, or large in scope"
someone,439,63.58,228,person who is not known or named
above,440,63.58,228,in a higher place than something else
design,441,63.58,228,to plan in a particular way to fulfill a purpose
event,442,63.57,228,something that happens
special,443,63.57,228,different from what is usual; better or greater than normal
sometimes,444,63.57,227,only at certain times; occasionally
condition,445,63.54,226,"state of living you are in (e.g., good health)"
carry,446,63.54,226,to hold something and move it to another place
choose,447,63.53,225,to select; decide between several possibilities
father,448,63.51,225,a male parent
decision,449,63.51,224,a choice you make about something after thinking about it
table,450,63.5,224,raised flat surface
certain,451,63.49,223,being sure about something; without doubt
forward,452,63.48,223,toward what is ahead or in front
main,453,63.48,223,most important; most often used
die,454,63.47,222,to stop living
bear,455,63.45,222,large brown animal with fur that lives in forests
cut,456,63.45,221,to use a knife or scissors to divide or open the surface
describe,457,63.43,220,"to tell someone the appearance, sound or smell of something"
himself,458,63.42,220,the same (male) person who did the action
available,459,63.42,220,present and able to be used
especially,460,63.42,220,more than usual; extremely
strong,461,63.38,218,having big muscles; physically powerful
rise,462,63.38,218,to move from a lower position to a higher one
girl,463,63.37,217,a female child
maybe,464,63.37,217,possibly but not certainly; perhaps
community,465,63.37,217,group of people who share a common idea or area
else,466,63.34,216,otherwise; if you fail to...
particular,467,63.33,215,one specific (one)
role,468,63.33,215,character played by an actor
join,469,63.33,215,"to bring something close to another, to become one"
difficult,470,63.32,215,hard; not easy; you need to work hard to do it
please,471,63.28,213,you say this when you politely ask people for things
detail,472,63.28,213,small part of something; tiny fact
difference,473,63.27,212,not of the same kind; unlike other things
action,474,63.21,210,something that a person or thing does
health,475,63.21,209,being in a good condition; being well
eat,476,63.19,209,to put food in your mouth
step,477,63.18,208,flat horizontal piece that forms stairs
TRUE,478,63.17,208,agreeing with the facts; not false; real or actual
phone,479,63.16,207,to talk to someone using a telephone
themselves,480,63.16,207,reflexive form of they
draw,481,63.15,207,to create an image using pen or pencil and paper
white,482,63.14,206,lightest color; the color of fresh snow and milk
date,483,63.13,205,a day in the calendar such as January 3rd
practice,484,63.12,205,to do something many times to improve a skill
model,485,63.12,205,a copy that represents an object or standard
raise,486,63.11,205,"to increase a quantity, size, intensity or price"
customer,487,63.11,205,someone who buys goods or services from a business
front,488,63.07,203,opposite of back; the forward part of an object
explain,489,63.06,202,to make clear or easy to understand by describing
door,490,63.05,202,you walk through this when you go in a room
outside,491,63.02,200,"area around or near something, such as a building"
behind,492,63.01,200,in or toward the back
economic,493,62.99,199,"having to do with trade, industry, and money"
site,494,62.98,199,"present, former, or future location of something, such as a building"
approach,495,62.98,199,to get close to reaching something or somewhere
teacher,496,62.98,199,"person who teaches others, especially in a school"
land,497,62.94,197,the earth; the ground
charge,498,62.94,197,to ask for money as a price for a service or goods
finally,499,62.93,197,after a long time or some difficulty
sign,500,62.93,197,"something such as a mark or event that shows that something exists, is true, is happening or will happen"
claim,501,62.93,196,to say something is true when others may not agree
relationship,502,62.93,196,"manner in which people, groups or countries behave toward one another"
travel,503,62.91,195,to go to a place that is far away
enjoy,504,62.89,195,to take pleasure in something
death,505,62.89,194,when someone dies; the end of life
nice,506,62.86,193,good or enjoyable
amount,507,62.86,193,quantity of something
improve,508,62.83,192,"to make, or become, something better"
picture,509,62.83,192,"painting, drawing or photograph on paper or screen"
boy,510,62.83,192,a young male person
regard,511,62.82,191,to pay attention to someone or something
organization,512,62.82,191,formal group of people with a particular purpose
happy,513,62.81,191,feeling pleasure or joy; glad
couple,514,62.81,191,two of something; two people; a pair
act,515,62.8,190,to behave in a certain way
range,516,62.79,190,limits within which something extends or varies
quality,517,62.78,190,high level of worth or excellence
project,518,62.78,190,a planned piece of work for specific purpose
round,519,62.77,189,being in the shape of a circle or ball
opportunity,520,62.76,189,time/situation when a thing might be done; chance
road,521,62.76,189,long piece of hard land for cars to travel on
accord,522,62.74,188,agreement or harmony
list,523,62.73,187,"series of written names, words or numbers"
wish,524,62.73,187,to want something to happen or to become true
therefore,525,62.72,187,for that reason
wear,526,62.71,187,"to have clothes, glasses, shoes, etc., on your body"
fund,527,62.71,187,to supply money for something
rest,528,62.71,186,"time when one relaxes, sleeps, or is inactive"
kid,529,62.7,186,informal child or young person
industry,530,62.68,185,factories or businesses that make certain products
education,531,62.67,185,process of giving or receiving teaching
measure,532,62.67,185,"to calculate size, weight or temperature of"
kill,533,62.65,184,to end the life of a person or other living thing
serve,534,62.64,184,to give or provide something to another person
likely,535,62.62,183,referring to the chance that something will actually happen
certainly,536,62.59,182,definitely true or is sure to happen
national,537,62.58,181,concerning a nation as a whole
itself,538,62.57,181,referring to it
teach,539,62.57,181,to help someone learn or do something
field,540,62.57,181,"open area of land, especially without buildings"
security,541,62.54,180,"things done to protect people, buildings, a country, etc., from harm"
air,542,62.53,179,mixture of gases around the earth that we breathe
benefit,543,62.53,179,"good result or effect, something advantageous"
trade,544,62.52,179,"to buy, sell and exchange goods in business"
risk,545,62.52,179,to take the chance that you may do something dangerous
news,546,62.51,178,information about recent events
standard,547,62.5,178,accepted level of quality; an official measurement
vote,548,62.49,177,"to make a choice for or against, as in an election"
percent,549,62.49,177,one one-hundredth of a whole
focus,550,62.48,177,main purpose or center of interest or activity
stage,551,62.47,177,place where actors or musician perform for others
space,552,62.46,176,empty area with nothing in it
instead,553,62.46,176,when one thing is replaced by another
realize,554,62.46,176,to become aware of or understand mentally
usually,555,62.44,175,normally; regularly
data,556,62.42,174,facts or information used to calculate or analyze
single,557,62.41,174,"only, merely"
address,558,62.37,173,exact street location of a place
performance,559,62.36,172,activity done to entertain an audience
chance,560,62.36,172,possibility that something will happen
accept,561,62.36,172,to agree to receive or take something offered
society,562,62.35,172,community of people living together
technology,563,62.35,172,"use or knowledge of science in industry, engineering, etc."
mention,564,62.35,172,to refer to or talk or write about something
choice,565,62.33,171,decision between two or more possibilities
save,566,62.33,171,to rescue someone or something from a bad situation
common,567,62.32,170,"typical, normal; not unusual"
culture,568,62.29,170,beliefs and customs of a particular group
total,569,62.28,169,whole number or amount of something
demand,570,62.27,169,to strongly request someone to do something; insist
material,571,62.26,168,substance from which a thing is made of
limit,572,62.25,168,point beyond which it is not possible to go
listen,573,62.25,168,to use your ears to hear and understand things
due,574,62.23,167,when something is required or expected
wrong,575,62.23,167,"not right, incorrect; not true; bad"
foot,576,62.22,167,lowest part of the leg we use to stand on
effort,577,62.22,167,amount of work used trying to do something
attention,578,62.21,166,focus of your thoughts on something
upon,579,62.21,166,more formal term for on
check,580,62.2,166,to confirm the details of something are correct
complete,581,62.2,166,to finish or reach the end of doing something
lie,582,62.19,166,to say something that you know is not true
pick,583,62.19,166,to decide on a thing from various choices; select
reduce,584,62.19,165,to make something smaller or use less of it
